,precision,recall,f1-score,support
AnnualCrop,0.9704,0.8022,0.8783,450.0
Forest,0.9406,0.9844,0.962,450.0
HerbaceousVegetation,0.8625,0.8222,0.8419,450.0
Highway,0.8992,0.856,0.877,375.0
Industrial,0.9375,0.92,0.9287,375.0
Pasture,0.8665,0.93,0.8971,300.0
PermanentCrop,0.8454,0.8747,0.8598,375.0
Residential,0.7937,1.0,0.885,450.0
River,0.9045,0.8587,0.881,375.0
SeaLake,0.9857,0.92,0.9517,450.0
accuracy,0.897,0.897,0.897,0.897
macro avg,0.9006,0.8968,0.8962,4050.0
weighted avg,0.9021,0.897,0.8969,4050.0
