,precision,recall,f1-score,support
AnnualCrop,0.8637274549098196,0.9577777777777777,0.9083245521601686,450.0
Forest,0.9032921810699589,0.9755555555555555,0.938034188034188,450.0
HerbaceousVegetation,0.9160997732426304,0.8977777777777778,0.9068462401795735,450.0
Highway,0.8891891891891892,0.8773333333333333,0.8832214765100671,375.0
Industrial,0.9466666666666667,0.9466666666666667,0.9466666666666667,375.0
Pasture,0.9518518518518518,0.8566666666666667,0.9017543859649123,300.0
PermanentCrop,0.9008264462809917,0.872,0.8861788617886179,375.0
Residential,0.9285714285714286,0.9822222222222222,0.9546436285097192,450.0
River,0.9281767955801105,0.896,0.9118046132971506,375.0
SeaLake,1.0,0.9066666666666666,0.951048951048951,450.0
accuracy,0.9204938271604939,0.9204938271604939,0.9204938271604939,0.9204938271604939
macro avg,0.9228401787362648,0.9168666666666667,0.9188523564160016,4050.0
weighted avg,0.9222564430139855,0.9204938271604939,0.9203659443475511,4050.0
