True Class,Predicted Class,Misclassified Images
SeaLake,Forest,28
River,Highway,21
PermanentCrop,AnnualCrop,21
Pasture,AnnualCrop,16
HerbaceousVegetation,Residential,14
Highway,AnnualCrop,13
Highway,River,12
PermanentCrop,HerbaceousVegetation,11
Pasture,HerbaceousVegetation,11
Industrial,Residential,11
HerbaceousVegetation,PermanentCrop,11
River,AnnualCrop,9
Pasture,Forest,8
Highway,PermanentCrop,8
HerbaceousVegetation,Highway,8
HerbaceousVegetation,Forest,8
AnnualCrop,PermanentCrop,7
Residential,Industrial,6
PermanentCrop,Industrial,6
Highway,Industrial,6
SeaLake,River,5
Forest,HerbaceousVegetation,5
SeaLake,HerbaceousVegetation,4
SeaLake,AnnualCrop,4
PermanentCrop,Residential,4
Industrial,PermanentCrop,4
Industrial,Highway,4
AnnualCrop,River,4
PermanentCrop,Highway,3
Pasture,PermanentCrop,3
Highway,Pasture,3
Highway,HerbaceousVegetation,3
HerbaceousVegetation,Pasture,3
Forest,Residential,3
Forest,AnnualCrop,3
AnnualCrop,Pasture,3
AnnualCrop,Highway,3
River,PermanentCrop,2
River,Pasture,2
River,HerbaceousVegetation,2
PermanentCrop,River,2
Pasture,River,2
SeaLake,Pasture,1
River,Residential,1
River,Industrial,1
River,Forest,1
Residential,PermanentCrop,1
Residential,Highway,1
PermanentCrop,Pasture,1
Pasture,Residential,1
Pasture,Industrial,1
Pasture,Highway,1
Industrial,AnnualCrop,1
Highway,Forest,1
HerbaceousVegetation,River,1
HerbaceousVegetation,AnnualCrop,1
AnnualCrop,HerbaceousVegetation,1
AnnualCrop,Forest,1
