,precision,recall,f1-score,support
AnnualCrop,0.8598,0.94,0.8981,450.0
Forest,0.8619,0.9289,0.8941,450.0
HerbaceousVegetation,0.8753,0.8111,0.842,450.0
Highway,0.7735,0.7013,0.7357,375.0
Industrial,0.852,0.952,0.8992,375.0
Pasture,0.8943,0.6767,0.7704,300.0
PermanentCrop,0.8374,0.824,0.8306,375.0
Residential,0.9461,0.8978,0.9213,450.0
River,0.7405,0.8827,0.8054,375.0
SeaLake,0.9719,0.9222,0.9464,450.0
accuracy,0.8612,0.8612,0.8612,0.8612
macro avg,0.8613,0.8537,0.8543,4050.0
weighted avg,0.8645,0.8612,0.8601,4050.0
